id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl,ip_id
0.0,6037276.0,1296002800.0,1283604900000.0,878761.0,10.15,22.12,919169.0,10.61,64.48,3153634.0,36.41,122.57,0.74,0.74,0.47,0.42,24.53,133.84,0.0
1.0,6003202.0,1352725400.0,1352566800000.0,850721.0,9.85,21.0,899893.0,10.42,93.85,3127798.0,36.21,122.95,0.74,0.74,0.47,0.42,24.4,134.92,0.0
2.0,6970395.0,1641867400.0,1675324000000.0,930926.0,10.39,22.1,1130158.0,12.61,214.8,3456478.0,38.58,131.25,0.74,0.74,0.46,0.41,24.35,135.98,0.0
3.0,6456615.0,1538404200.0,1553393900000.0,907981.0,10.36,21.8,877281.0,10.01,70.03,3365521.0,38.42,127.11,0.74,0.74,0.46,0.42,24.38,135.15,0.0
4.0,5630980.0,1353925100.0,1343859300000.0,906984.0,10.91,21.29,1047772.0,12.6,154.99,2976694.0,35.79,107.75,0.74,0.74,0.43,0.4,21.12,147.87,0.0
5.0,5608853.0,1545271000.0,1563983700000.0,898064.0,10.51,21.37,1087452.0,12.72,218.75,2952834.0,34.55,110.03,0.73,0.73,0.45,0.41,23.58,139.49,0.0
6.0,8109116.0,1802091800.0,1801722100000.0,969831.0,10.52,22.96,1913675.0,20.75,477.31,3452352.0,37.43,128.04,0.73,0.73,0.46,0.42,25.9,128.61,0.0
7.0,9022666.0,1651513900.0,1634615300000.0,956642.0,10.64,25.5,2377547.0,26.44,713.58,3588590.0,39.91,136.01,0.72,0.72,0.47,0.42,25.85,128.49,0.0
8.0,6348357.0,1331712300.0,1293486900000.0,909202.0,10.27,22.38,925052.0,10.45,55.28,3300194.0,37.27,124.1,0.75,0.75,0.44,0.4,21.19,148.97,0.0
9.0,5218956.0,1051142850.0,1005776400000.0,848679.0,9.99,20.45,778472.0,9.16,28.28,2875705.0,33.86,108.29,0.78,0.77,0.42,0.39,17.05,166.7,0.0
10.0,5050014.0,1004913700.0,978636960000.0,825280.0,9.91,19.95,787059.0,9.46,40.66,2771429.0,33.29,105.25,0.77,0.77,0.43,0.39,18.33,161.28,0.0
11.0,4396979.0,972205950.0,953696060000.0,827066.0,10.18,19.19,797503.0,9.82,69.71,2538970.0,31.26,94.48,0.76,0.76,0.42,0.39,18.46,162.32,0.0
12.0,4225634.0,971839700.0,958269600000.0,811869.0,9.78,18.36,808201.0,9.74,35.89,2442674.0,29.43,90.86,0.75,0.75,0.43,0.4,19.66,155.43,0.0
13.0,5397168.0,1299583400.0,1315605700000.0,848856.0,9.62,21.26,973851.0,11.03,177.59,2901338.0,32.87,111.67,0.73,0.73,0.47,0.43,25.63,132.6,0.0
14.0,6240103.0,1240863200.0,1229521700000.0,825237.0,9.52,20.4,1188002.0,13.7,331.41,3033541.0,34.99,117.75,0.73,0.73,0.48,0.43,25.85,130.78,0.0
15.0,6969690.0,1492092200.0,1491029000000.0,905600.0,10.18,23.55,909026.0,10.22,84.02,3542490.0,39.84,137.2,0.74,0.73,0.47,0.43,25.89,133.33,0.0
16.0,7032204.0,1601115500.0,1604389600000.0,930040.0,10.38,22.49,921797.0,10.28,56.11,3554773.0,39.66,134.61,0.74,0.73,0.46,0.42,24.59,136.68,0.0
17.0,6895280.0,1611331000.0,1625269100000.0,938970.0,10.45,22.45,949517.0,10.57,109.11,3558044.0,39.61,130.91,0.73,0.73,0.46,0.42,24.96,135.11,0.0
18.0,5733714.0,1403928600.0,1406657200000.0,871853.0,10.23,21.3,1075492.0,12.62,235.02,3019008.0,35.42,109.68,0.72,0.72,0.47,0.43,24.21,131.63,0.0
19.0,5872159.0,1470350700.0,1465451700000.0,859064.0,9.75,20.2,900819.0,10.22,41.23,2994645.0,33.97,108.78,0.71,0.71,0.47,0.42,25.92,129.57,0.0
20.0,6129114.0,1626770300.0,1648860100000.0,910783.0,10.16,21.56,926295.0,10.33,42.77,3260518.0,36.38,121.11,0.72,0.72,0.46,0.42,26.1,132.72,0.0
21.0,6758782.0,1471876200.0,1461463700000.0,913366.0,9.98,21.16,858221.0,9.38,61.27,3500022.0,38.26,130.3,0.73,0.73,0.46,0.42,25.29,134.57,0.0
22.0,7737338.0,1657408300.0,1666296800000.0,938699.0,10.27,22.46,950227.0,10.39,97.13,3762037.0,41.15,141.38,0.73,0.73,0.47,0.42,26.25,131.87,0.0
23.0,7642277.0,1643401300.0,1645850000000.0,952171.0,10.4,22.56,1043148.0,11.4,119.37,3783165.0,41.34,140.24,0.73,0.73,0.47,0.42,24.42,134.54,0.0
24.0,6459011.0,1327408600.0,1321118700000.0,874319.0,9.8,21.02,913204.0,10.24,87.66,3392559.0,38.02,124.3,0.73,0.73,0.48,0.44,26.04,129.91,0.0
